url,title,date,class,venue
https://vault.racerxonline.com/1992-06-14/250mx/hangtown-motocross-classic,Hangtown Motocross Classic - 250MX,"June 14, 1992",250mx,Hangtown Motocross Classic
https://vault.racerxonline.com/1992-07-05/125mx/red-bud-track-n-trail,RedBud Track 'n Trail - 125MX,"July 5, 1992",125mx,Red Bud Track N Trail
https://vault.racerxonline.com/1992-07-05/250mx/red-bud-track-n-trail,RedBud Track 'n Trail - 250MX,"July 5, 1992",250mx,Red Bud Track N Trail
https://vault.racerxonline.com/1992-07-11/125esx/los-angeles-memorial-coliseum,Los Angeles - 125ESX,"July 11, 1992",125esx,Los Angeles Memorial Coliseum
https://vault.racerxonline.com/1992-07-11/125wsx/los-angeles-memorial-coliseum,Los Angeles - 125WSX,"July 11, 1992",125wsx,Los Angeles Memorial Coliseum
https://vault.racerxonline.com/1992-07-11/250sx/los-angeles-memorial-coliseum,Los Angeles - 250SX,"July 11, 1992",250sx,Los Angeles Memorial Coliseum
https://vault.racerxonline.com/1992-07-26/125mx/kenworthys-motocross-park,Kenworthy's Motocross Park - 125MX,"July 26, 1992",125mx,Kenworthys Motocross Park
https://vault.racerxonline.com/1992-07-26/250mx/kenworthys-motocross-park,Kenworthy's Motocross Park - 250MX,"July 26, 1992",250mx,Kenworthys Motocross Park
https://vault.racerxonline.com/1992-08-02/125mx/washougal-motocross-park,Washougal Motocross - 125MX,"August 2, 1992",125mx,Washougal Motocross Park
https://vault.racerxonline.com/1992-08-02/500mx/washougal-motocross-park,Washougal Motocross - 500MX,"August 2, 1992",500mx,Washougal Motocross Park
https://vault.racerxonline.com/1992-08-16/125mx/spring-creek-motocross-park,Spring Creek Motocross - 125MX,"August 16, 1992",125mx,Spring Creek Motocross Park
https://vault.racerxonline.com/1992-08-16/500mx/spring-creek-motocross-park,Spring Creek Motocross - 500MX,"August 16, 1992",500mx,Spring Creek Motocross Park
https://vault.racerxonline.com/1992-08-30/125mx/broome-tioga-sports-center,Broome-Tioga Sports Center - 125MX,"August 30, 1992",125mx,Broome Tioga Sports Center
https://vault.racerxonline.com/1992-08-30/500mx/broome-tioga-sports-center,Broome-Tioga Sports Center - 500MX,"August 30, 1992",500mx,Broome Tioga Sports Center
https://vault.racerxonline.com/1992-09-27/125mx/steel-city-raceway,Steel City Raceway - 125MX,"September 27, 1992",125mx,Steel City Raceway
https://vault.racerxonline.com/1992-09-27/500mx/steel-city-raceway,Steel City Raceway - 500MX,"September 27, 1992",500mx,Steel City Raceway
https://vault.racerxonline.com/1992-10-04/125mx/budds-creek-motocross-park,Budds Creek Motocross - 125MX,"October 4, 1992",125mx,Budds Creek Motocross Park
https://vault.racerxonline.com/1992-10-04/500mx/budds-creek-motocross-park,Budds Creek Motocross - 500MX,"October 4, 1992",500mx,Budds Creek Motocross Park
https://vault.racerxonline.com/1993-01-09/125esx/citrus-bowl,Orlando - 125ESX,"January 9, 1993",125esx,Citrus Bowl
https://vault.racerxonline.com/1993-01-09/250sx/citrus-bowl,Orlando - 250SX,"January 9, 1993",250sx,Citrus Bowl
https://vault.racerxonline.com/1993-01-16/125ewsx/astrodome,Houston - 125E/WSX,"January 16, 1993",125ewsx,Astrodome
https://vault.racerxonline.com/1993-01-16/250sx/astrodome,Houston - 250SX,"January 16, 1993",250sx,Astrodome
https://vault.racerxonline.com/1993-01-23/125wsx/anaheim-stadium,Anaheim - 125WSX,"January 23, 1993",125wsx,Anaheim Stadium
https://vault.racerxonline.com/1993-01-23/250sx/anaheim-stadium,Anaheim - 250SX,"January 23, 1993",250sx,Anaheim Stadium
https://vault.racerxonline.com/1993-01-30/125wsx/kingdome,Seattle - 125WSX,"January 30, 1993",125wsx,Kingdome
https://vault.racerxonline.com/1993-01-30/250sx/kingdome,Seattle - 250SX,"January 30, 1993",250sx,Kingdome
https://vault.racerxonline.com/1993-02-06/125wsx/jack-murphy-stadium,San Diego - 125WSX,"February 6, 1993",125wsx,Jack Murphy Stadium
https://vault.racerxonline.com/1993-02-06/250sx/jack-murphy-stadium,San Diego - 250SX,"February 6, 1993",250sx,Jack Murphy Stadium
https://vault.racerxonline.com/1993-02-13/125esx/tampa-stadium,Tampa - 125ESX,"February 13, 1993",125esx,Tampa Stadium
https://vault.racerxonline.com/1993-02-13/250sx/tampa-stadium,Tampa - 250SX,"February 13, 1993",250sx,Tampa Stadium
https://vault.racerxonline.com/1993-02-20/125esx/georgia-dome,Atlanta - 125ESX,"February 20, 1993",125esx,Georgia Dome
https://vault.racerxonline.com/1993-02-20/250sx/georgia-dome,Atlanta - 250SX,"February 20, 1993",250sx,Georgia Dome
https://vault.racerxonline.com/1993-02-21/125mx/gatorback-cycle-park,Gatorback Cycle Park - 125MX,"February 21, 1993",125mx,Gatorback Cycle Park
https://vault.racerxonline.com/1993-02-21/250mx/gatorback-cycle-park,Gatorback Cycle Park - 250MX,"February 21, 1993",250mx,Gatorback Cycle Park
https://vault.racerxonline.com/1993-03-06/125esx/daytona-international-speedway,Daytona - 125ESX,"March 6, 1993",125esx,Daytona International Speedway
https://vault.racerxonline.com/1993-03-06/250sx/daytona-international-speedway,Daytona - 250SX,"March 6, 1993",250sx,Daytona International Speedway
https://vault.racerxonline.com/1993-03-27/125esx/texas-stadium,Irving - 125ESX,"March 27, 1993",125esx,Texas Stadium
https://vault.racerxonline.com/1993-03-27/125wsx/texas-stadium,Irving - 125WSX,"March 27, 1993",125wsx,Texas Stadium
https://vault.racerxonline.com/1993-03-27/250sx/texas-stadium,Irving - 250SX,"March 27, 1993",250sx,Texas Stadium
https://vault.racerxonline.com/1993-04-03/125esx/memorial-stadium,Charlotte - 125ESX,"April 3, 1993",125esx,Memorial Stadium
https://vault.racerxonline.com/1993-04-03/250sx/memorial-stadium,Charlotte - 250SX,"April 3, 1993",250sx,Memorial Stadium
https://vault.racerxonline.com/1993-04-17/125esx/silverdome,Pontiac 1 - 125ESX,"April 17, 1993",125esx,Silverdome
https://vault.racerxonline.com/1993-04-17/250sx/silverdome,Pontiac 1 - 250SX,"April 17, 1993",250sx,Silverdome
https://vault.racerxonline.com/1993-04-18/125esx/silverdome,Pontiac 2 - 125ESX,"April 18, 1993",125esx,Silverdome
https://vault.racerxonline.com/1993-04-18/250sx/silverdome,Pontiac 2 - 250SX,"April 18, 1993",250sx,Silverdome
https://vault.racerxonline.com/1993-04-24/125esx/rca-dome,Indianapolis - 125ESX,"April 24, 1993",125esx,Rca Dome
https://vault.racerxonline.com/1993-04-24/250sx/rca-dome,Indianapolis - 250SX,"April 24, 1993",250sx,Rca Dome
https://vault.racerxonline.com/1993-05-02/125mx/moto-x-338,Moto-X 338 - 125MX,"May 2, 1993",125mx,Moto X 338
https://vault.racerxonline.com/1993-05-02/250mx/moto-x-338,Moto-X 338 - 250MX,"May 2, 1993",250mx,Moto X 338
https://vault.racerxonline.com/1993-05-15/125wsx/rose-bowl,Pasadena - 125WSX,"May 15, 1993",125wsx,Rose Bowl
https://vault.racerxonline.com/1993-05-15/250sx/rose-bowl,Pasadena - 250SX,"May 15, 1993",250sx,Rose Bowl
https://vault.racerxonline.com/1993-05-30/125mx/high-point-raceway,High Point Raceway - 125MX,"May 30, 1993",125mx,High Point Raceway
